antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
frozenset({'Patrick Ta Beauty'}),frozenset({'Hourglass'}),0.12060301507537688,0.19597989949748743,0.06532663316582915,0.5416666666666667,2.7638888888888893,1.0,0.041690866392262826,1.7542256738236641,0.7257142857142856,0.26000000000000006,0.42994791666666676,0.43750000000000006,Patrick Ta Beauty,Hourglass
frozenset({'Hourglass'}),frozenset({'Rare Beauty'}),0.19597989949748743,0.35175879396984927,0.05527638190954774,0.2820512820512821,0.801831501831502,1.0,-0.01366127118002071,0.9029073941134245,-0.23511516731855722,0.11224489795918367,-0.10753329357980516,0.21959706959706962,Hourglass,Rare Beauty
frozenset({'Rare Beauty'}),frozenset({'Hourglass'}),0.35175879396984927,0.19597989949748743,0.05527638190954774,0.15714285714285714,0.8018315018315019,1.0,-0.01366127118002071,0.9539221531385743,-0.27602040816326534,0.11224489795918367,-0.04830357142857142,0.21959706959706962,Rare Beauty,Hourglass
frozenset({'Make Up By Mario'}),frozenset({'Huda Beauty'}),0.2814070351758794,0.2562814070351759,0.10050251256281408,0.35714285714285715,1.3935574229691876,1.0,0.028383121638342473,1.1568955890563932,0.3930069930069931,0.22988505747126436,0.13561776061776062,0.3746498599439776,Make Up By Mario,Huda Beauty
frozenset({'Huda Beauty'}),frozenset({'Make Up By Mario'}),0.2562814070351759,0.2814070351758794,0.10050251256281408,0.39215686274509803,1.3935574229691876,1.0,0.028383121638342473,1.182201329226779,0.37972972972972985,0.22988505747126436,0.15412038941450706,0.3746498599439776,Huda Beauty,Make Up By Mario
frozenset({'Huda Beauty'}),frozenset({'NARS'}),0.2562814070351759,0.15577889447236182,0.05025125628140704,0.19607843137254902,1.2586970271979758,1.0,0.010328022019645972,1.0501286922416961,0.2763513513513514,0.1388888888888889,0.04773576097105508,0.2593295382669197,Huda Beauty,NARS
frozenset({'NARS'}),frozenset({'Huda Beauty'}),0.15577889447236182,0.2562814070351759,0.05025125628140704,0.3225806451612903,1.2586970271979758,1.0,0.010328022019645972,1.0978703039004545,0.243452380952381,0.1388888888888889,0.08914559721011332,0.2593295382669197,NARS,Huda Beauty
frozenset({'Huda Beauty'}),frozenset({'Rare Beauty'}),0.2562814070351759,0.35175879396984927,0.08542713567839195,0.3333333333333333,0.9476190476190475,1.0,-0.004722102977197551,0.9723618090452261,-0.06918238993710699,0.16346153846153844,-0.028423772609819185,0.28809523809523807,Huda Beauty,Rare Beauty
frozenset({'Rare Beauty'}),frozenset({'Huda Beauty'}),0.35175879396984927,0.2562814070351759,0.08542713567839195,0.24285714285714283,0.9476190476190475,1.0,-0.004722102977197551,0.982269839764862,-0.07857142857142865,0.16346153846153844,-0.01805019305019309,0.28809523809523807,Rare Beauty,Huda Beauty
frozenset({'Make Up By Mario'}),frozenset({'NARS'}),0.2814070351758794,0.15577889447236182,0.05025125628140704,0.17857142857142858,1.1463133640552996,1.0,0.006413979444963511,1.0277474328162552,0.1776223776223776,0.12987012987012989,0.026998299319727886,0.25057603686635943,Make Up By Mario,NARS
frozenset({'NARS'}),frozenset({'Make Up By Mario'}),0.15577889447236182,0.2814070351758794,0.05025125628140704,0.3225806451612903,1.1463133640552996,1.0,0.006413979444963511,1.0607800909308447,0.15119047619047618,0.12987012987012989,0.0572975411685089,0.25057603686635943,NARS,Make Up By Mario
frozenset({'Make Up By Mario'}),frozenset({'Patrick Ta Beauty'}),0.2814070351758794,0.12060301507537688,0.06030150753768844,0.21428571428571427,1.7767857142857142,1.0,0.02636297063205475,1.1192325262677023,0.6083916083916084,0.17647058823529413,0.10653061224489795,0.35714285714285715,Make Up By Mario,Patrick Ta Beauty
frozenset({'Patrick Ta Beauty'}),frozenset({'Make Up By Mario'}),0.12060301507537688,0.2814070351758794,0.06030150753768844,0.5,1.7767857142857144,1.0,0.02636297063205475,1.4371859296482412,0.49714285714285716,0.17647058823529413,0.3041958041958042,0.35714285714285715,Patrick Ta Beauty,Make Up By Mario
frozenset({'Make Up By Mario'}),frozenset({'Rare Beauty'}),0.2814070351758794,0.35175879396984927,0.10050251256281408,0.35714285714285715,1.0153061224489794,1.0,0.0015151132547157886,1.0083752093802347,0.02097902097902096,0.18867924528301885,0.008305647840531536,0.3214285714285714,Make Up By Mario,Rare Beauty
frozenset({'Rare Beauty'}),frozenset({'Make Up By Mario'}),0.35175879396984927,0.2814070351758794,0.10050251256281408,0.2857142857142857,1.0153061224489794,1.0,0.0015151132547157886,1.0060301507537688,0.023255813953488347,0.18867924528301885,0.005994005994005976,0.3214285714285714,Rare Beauty,Make Up By Mario
frozenset({'NARS'}),frozenset({'Rare Beauty'}),0.15577889447236182,0.35175879396984927,0.07537688442211055,0.4838709677419354,1.375576036866359,1.0,0.020580288376556136,1.255967336683417,0.32341269841269826,0.17441860465116274,0.2038009502375592,0.34907834101382484,NARS,Rare Beauty
frozenset({'Rare Beauty'}),frozenset({'NARS'}),0.35175879396984927,0.15577889447236182,0.07537688442211055,0.21428571428571425,1.3755760368663592,1.0,0.020580288376556136,1.074463225216994,0.42118863049095584,0.17441860465116274,0.06930272108843531,0.34907834101382484,Rare Beauty,NARS
frozenset({'Too Faced'}),frozenset({'Rare Beauty'}),0.1306532663316583,0.35175879396984927,0.05527638190954774,0.4230769230769231,1.2027472527472527,1.0,0.009317946516502106,1.1236180904522615,0.19390436153441926,0.12941176470588237,0.11001788908765649,0.2901098901098901,Too Faced,Rare Beauty
frozenset({'Rare Beauty'}),frozenset({'Too Faced'}),0.35175879396984927,0.1306532663316583,0.05527638190954774,0.15714285714285714,1.2027472527472527,1.0,0.009317946516502106,1.0314283280810834,0.2600422832980971,0.12941176470588237,0.030470685383980168,0.2901098901098901,Rare Beauty,Too Faced
"frozenset({'Charlotte Tilbury', 'Hourglass'})",frozenset({'Dior Beauty'}),0.15577889447236182,0.19597989949748743,0.06030150753768844,0.3870967741935484,1.9751861042183623,1.0,0.029771975455165273,1.3118222692409416,0.5848214285714286,0.20689655172413793,0.2377016129032258,0.34739454094292804,"Charlotte Tilbury, Hourglass",Dior Beauty
"frozenset({'Charlotte Tilbury', 'Dior Beauty'})",frozenset({'Hourglass'}),0.15577889447236182,0.19597989949748743,0.06030150753768844,0.3870967741935484,1.9751861042183623,1.0,0.029771975455165273,1.3118222692409416,0.5848214285714286,0.20689655172413793,0.2377016129032258,0.34739454094292804,"Charlotte Tilbury, Dior Beauty",Hourglass
"frozenset({'Dior Beauty', 'Hourglass'})",frozenset({'Charlotte Tilbury'}),0.07035175879396985,0.5979899497487438,0.06030150753768844,0.8571428571428571,1.4333733493397358,1.0,0.018231862831746666,2.814070351758793,0.3252252252252251,0.09917355371900827,0.644642857142857,0.4789915966386554,"Dior Beauty, Hourglass",Charlotte Tilbury
frozenset({'Charlotte Tilbury'}),"frozenset({'Dior Beauty', 'Hourglass'})",0.5979899497487438,0.07035175879396985,0.06030150753768844,0.10084033613445377,1.4333733493397358,1.0,0.018231862831746666,1.0339078570422204,0.7520833333333332,0.09917355371900827,0.032795821031115134,0.4789915966386554,Charlotte Tilbury,"Dior Beauty, Hourglass"
frozenset({'Hourglass'}),"frozenset({'Charlotte Tilbury', 'Dior Beauty'})",0.19597989949748743,0.15577889447236182,0.06030150753768844,0.3076923076923077,1.9751861042183623,1.0,0.029771975455165273,1.219430485762144,0.6140625000000001,0.20689655172413793,0.17994505494505494,0.34739454094292804,Hourglass,"Charlotte Tilbury, Dior Beauty"
frozenset({'Dior Beauty'}),"frozenset({'Charlotte Tilbury', 'Hourglass'})",0.19597989949748743,0.15577889447236182,0.06030150753768844,0.3076923076923077,1.9751861042183623,1.0,0.029771975455165273,1.219430485762144,0.6140625000000001,0.20689655172413793,0.17994505494505494,0.34739454094292804,Dior Beauty,"Charlotte Tilbury, Hourglass"
